country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
RUS,Russia,Kalinn NPP,WRI1003717,4000.0,57.9050,35.0614,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kalinin_NPP,WRI,1022699,,,,,,,,,,,,,,28565.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Kola NPP,WRI1003733,1760.0,67.4667,32.4667,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kola_NPP,GEODB,1022700,,,,,,,,,,,,,,12568.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Kursk,WRI1003744,4000.0,51.6750,35.6056,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Kursk_NPP,GEODB,,,,,,,,,,,,,,,28565.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Leningrad NPP,WRI1003749,4000.0,59.8528,29.0486,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Leningrad_NPP,GEODB,1022707,,,,,,,,,,,,,,28565.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Novovoronezh,WRI1003775,1880.0,51.2822,39.2100,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Novovoronezh_NPP,GEODB,1022704,,,,,,,,,,,,,,13425.74,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Rostov NPP,WRI1003791,4000.0,47.5993,42.3717,Nuclear,,,,2001.0,Rosatom,IAEA,http://www.rosenergoatom.ru/wps/wcm/connect/rosenergoatom_copy/ronpp/,GEODB,,,,,,,,,,,,,,,28565.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Smolensk,WRI1003812,3000.0,54.1647,33.2367,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Smolensk_NPP,GEODB,1022706,,,,,,,,,,,,,,21424.06,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SVK,Slovakia,Bohunice Nuclear Power Plant Slovakia,GEODB0002385,880.0,48.4960,17.6816,Nuclear,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1029012,2017,,,,,7730.65,,,JRC-PPDB-OPEN,,,,,6805.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SVK,Slovakia,Mochovce Nuclear Power Plant Slovakia,GEODB0004330,880.0,48.2621,18.4590,Nuclear,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1029033,2017,,,,,7196.592,,,JRC-PPDB-OPEN,,,,,6805.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SVN,Slovenia,Krsko (NEK),WRI1022414,696.0,45.9389,15.5160,Nuclear,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,1015518,,,,5361.506,5390.881,5958.904,,,JRC-PPDB-OPEN,,,,,6017.00,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ZAF,South Africa,Koeberg,WRI1000137,1800.0,-33.6737,18.4281,Nuclear,,,,1984.0,Eskom,Eskom,http://www.eskom.co.za/Whatweredoing/ElectricityGeneration/KoebergNuclearPowerStation/Pages/Koeberg_Power_Station.aspx,WRI,1016660,,,,,,,,,,,,,,13236.99,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Chan Cheon,WRI1000220,62.0,37.9672,127.6699,Hydro,,,,1965.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,WRI,1021144,,,,,,,,,,195.15,103.16,101.69,115.76,122.27,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
